source,target,weight
"Laugel, Leonce.","Weston, Deborah",1
"Lecomte, Floreska.","Chapman, Maria Weston",2
"Lewis, Edmonia.","Chapman, Maria Weston",3
"Lewis, Enoch.","Garrison, William Lloyd",2
"Lewis, Evan.","Coffin, Joshua",1
"Lewis, Jarvis.","Chapman, Maria Weston",1
"Lewis, Jarvis.","Garrison, William Lloyd",1
"Lewis, Seth.","Channing, William Ellery",1
"Lincoln, Elizabeth W.","Chapman, Maria Weston",1
"Linton, Mahlon B.","Garrison, William Lloyd",1
"Little, Sophia L.","Chapman, Maria Weston",1
"Livermore, Elizabeth A.","Chapman, Maria Weston",1
"Livermore, Mary Ashton Rice","Garrison, William Lloyd",1
"Locke, Jane E.","Chapman, Maria Weston",1
"Logan, William","Garrison, William Lloyd",1
"Longfellow, Samuel","Chapman, Maria Weston",1
"Longfellow, Samuel","Weston, Anne Warren",1
"Loring, Anna.","Chapman, Maria Weston",1
"Loring, Benjamin.","Chapman, Maria Weston",1
"Loring, C. W.","Weston, Anne Warren",1
"Loring, Ellis Gray","Chapman, Maria Weston",2
"Loring, Ellis Gray","Child, Lydia Maria",1
"Loring, Ellis Gray","Weston, Anne Warren",1
"Loring, Ellis Gray","Weston, Caroline",3
"Loring, Louisa Gilman","Chapman, Maria Weston",1
"Lothrop, Samuel Kirkland","May, Samuel",1
"Love, Alfred H.","Garrison, William Lloyd",2
"Lupton, Elizabeth.",Weston,1
"Lupton, Harriet.","Chapman, Maria Weston",1
"Lupton, Harriet.","Garrison, William Lloyd",1
"Lupton, Joseph.","Chapman, Maria Weston",4
"Lupton, Joseph.","Estlin, J. B.",1
"Lupton, Joseph.","Garrison, William Lloyd",3
"Lupton, Joseph.","May, Samuel",9
"Lyman, Theodore","Everett, Oliver",1
M. W. C.,"Phillips, Wendell",1
"M'Kim, J. Miller","Chapman, Maria Weston",21
"M'Kim, J. Miller","Garrison, William Lloyd",9
"M'Kim, J. Miller","Stearns, Geo. L.",1
"M'Kim, J. Miller",Weston,4
"M'Kim, J. Miller","Weston, Caroline",2
"Macaulay, Zachary","Denison, Charles Wheeler",1
"Macaulay, Zachary","Whitmorae, Wiiliam Wolryche",1
"Macmillan, Sarah N.","Weston, Anne Warren",1
"MacPhail, Jane M.","Weston, Anne Warren",2
"MacQueen, James","Hunt, Benjamin P.",1
"Macy, Aaron Cyrus.","Garrison, William Lloyd",1
"Madden, Richard Robert","Chapman, Maria Weston",1
"Magill, Edward H.","Garrison, William Lloyd",1
"Magill, Jonathan P.","Burleigh, Charles C.",1
"Magill, Jonathan P.","Garrison, William Lloyd",1
"Mandell, Abby Osgood","Chapman, Maria Weston",1
"Mandell, Abby Osgood","Weston, Deborah",1
"Mannix, Mary.","Chapman, Maria Weston",1
"Marsh, R. V.","Garrison, William Lloyd",1
"Marshall, Emma","Chapman, Maria Weston",1
"Marshall, Theodoria.","Garrison, William Lloyd",1
"Martin, Henry William","Sikes, Thomas",1
"Martineau, Harriet","Garrison, William Lloyd",2
"Martineau, Robert F.","Garrison, William Lloyd",1
"Massie, Isabella.",Weston,1
"Massie, Isabella.","Weston, Caroline",1
"Mawson, Elizabeth Swan.","Garrison, William Lloyd",2
"Mawson, John","Garrison, William Lloyd",2
"May, Abby W.","Chapman, Maria Weston",1
"May, Abby W.",Weston,1
"May, Elizabeth G.","Ford, Worthington Chauncey",2
"May, Mary Goddard","Chapman, Maria Weston",1
"May, Samuel","Armstrong, George",1
"May, Samuel","Brown, J.",1
"May, Samuel","Burleigh, Charles C.",46
"May, Samuel","Carpenter, Mary",19
"May, Samuel","Carter, H. W.",1
"May, Samuel","Channing, W. H.",1
"May, Samuel","Chapman, Maria Weston",23
"May, Samuel","Davis, George T.",1
"May, Samuel","Estlin, J. B.",41
"May, Samuel","Foster, Daniel",4
"May, Samuel","Gannett, Ezra S.",1
"May, Samuel","Garrison, William Lloyd",20
"May, Samuel","Gibbons, Abby Hopper",1
"May, Samuel","Hall, Edward B.",3
"May, Samuel","Howland, Joseph A.",1
"May, Samuel","Hudson, Charles",2
"May, Samuel","Hutton, Joseph",1
"May, Samuel","Jackson, Francis",1
"May, Samuel","Longfellow, Henry Wadsworth",1
"May, Samuel","Lothrop, Samuel Kirkland",1
"May, Samuel","M'Kim, J. Miller",1
"May, Samuel","Martineau, James",1
"May, Samuel","May, Adeline",1
"May, Samuel","May, Samuel",7
"May, Samuel","May, Samuel J.",4
"May, Samuel","Peabody, Andrew P.",1
"May, Samuel","Phillips, Wendell",2
"May, Samuel","Steinthal, S. Alfred",1
"May, Samuel","Webb, Hannah",1
"May, Samuel","Webb, Richard Davis",138
"May, Samuel",Weston,18
"May, Samuel","Weston, Anne Warren",24
"May, Samuel","Weston, Caroline",2
"May, Samuel","Weston, Deborah",1
"May, Samuel","Wigham, Eliza",1
"May, Samuel J.","Chapman, Maria Weston",13
"May, Samuel J.","Garrison, William Lloyd",2
"May, Samuel J.","Mann, Horace",1
"May, Samuel J.","May, Samuel",2
"May, Samuel J.","May, Samuel J.",1
"May, Samuel J.","Weston, Caroline",1
"May, Sarah Russell","Chapman, Maria Weston",2
"May, Sarah Russell","Garrison, William Lloyd",1
"May, Sarah Russell",Weston,1
"May, Sarah Russell","Weston, Anne Warren",2
"May, Sarah Russell","Weston, Deborah",1
"Mazzini, Giuseppe","Armstrong, George",1
"McFadden, Albert.","Garrison, William Lloyd",1
"McLaren, Priscilla Bright","Garrison, William Lloyd",1
"Metford, Jane E.","Garrison, William Lloyd",1
"Michell, Emma.","Chapman, Maria Weston",6
"Michell, Emma.",Weston,3
"Michell, Emma.","Weston, Anne Warren",3
"Michell, Emma.","Weston, Caroline",1
"Miles, Mary E. Russell.","Chapman, Maria Weston",2
"Milford, George Washington.","Garrison, William Lloyd",1
"Milnes, Richard Monckton","Garrison, William Lloyd",1
"Mitchell, Emma.","Weston, Anne Warren",1
"Moore, Frank","Garrison, William Lloyd",1
"Moore, Rebecca.","Garrison, William Lloyd",2
Moran,"Garrison, William Lloyd",1
"Morison, John Hopkins","May, Samuel",2
"Morris, Robert","Garrison, William Lloyd",1
"Morton, Anne.","Chapman, Maria Weston",1
"Morton, Charlotte A.","Chapman, Maria Weston",1
"Morton, Charlotte A.",Weston,1
"Morton, D.","May, Samuel",1
"Mott, James","Weston, Anne Warren",2
"Mott, Lucretia","Chapman, Maria Weston",9
"Mott, Lucretia","Weston, Anne Warren",2
"Nason, C. C.","Garrison, William Lloyd",1
"Neal, John","Garrison, William Lloyd",1
"Needles, William N.","Garrison, William Lloyd",2
"Neill, John R.","Garrison, William Lloyd",1
"Nell, William C.","Chapman, Maria Weston",4
"New, Herbert","Garrison, William Lloyd",1
"Newman, Francis William","Garrison, William Lloyd",2
"Nichol, Elizabeth Pease","Chapman, Maria Weston",1
"Nichol, Elizabeth Pease","Garrison, William Lloyd",1
"Nichol, Elizabeth Pease","Weston, Anne Warren",1
"Nichol, John","Garrison, William Lloyd",2
"Nichols, R. Anne.","Garrison, William Lloyd",1
"Nichols, W. S.","Garrison, William Lloyd",2
Nicolaus,"Bergame, Nicolas de",1
"Nisbet, Richard.","Sparhawk, John",1
"Norton, Charles Eliot","Garrison, William Lloyd",2
"Norton, John Treadwell","Garrison, William Lloyd",1
"O'Brien, Hannah.","Garrison, William Lloyd",1
"Olds, C. G.","Child, Lydia Maria",1
"Olds, Clarissa G.",Weston,1
"Olds, Clarissa G.","Weston, Anne Warren",1
"Olin, William M.","Garrison, William Lloyd",1
"Orton, J. R.","Phillips, Wendell",1
"Osgood, Abby","Weston, Anne Warren",1
"Osgood, Abby","Weston, Deborah",9
"Otis, A. L.","Chapman, Maria Weston",3
"Ouseley, William Gore","Everett, Edward",1
"Owen, Woodland","Garrison, William Lloyd",1
"Palfrey, John Gorham","May, Samuel",1
"Palmer, Elizabeth L.","Garrison, William Lloyd",2
"Parker, M. E.","Garrison, William Lloyd",2
"Parker, Mary S.","Chapman, Maria Weston",1
"Parker, Mary S.","Weston, Anne Warren",1
"Parkman, John","Chapman, Maria Weston",2
"Parkman, John","May, Samuel",2
"Parkman, John","May, Samuel J.",1
"Parkman, M. J.","Chapman, Maria Weston",1
"Paton, Andrew","Chapman, Maria Weston",3
"Paton, Andrew","Weston, Anne Warren",2
"Paton, Catherine.","Chapman, Maria Weston",10
"Paton, Catherine.","Weston, Anne Warren",1
"Patton, Abby Hutchinson","Garrison, William Lloyd",1
"Payne, H. B.","Garrison, William Lloyd",1
"Peabody, Andrew P.","Wallcut, Robert Folger",1
"Peek, Alanson A.","Garrison, William Lloyd",1
"Phelps, Amos A.","Chapman, Maria Weston",5
"Phelps, Amos A.","Garrison, William Lloyd",2
"Phelps, Amos A.",Weston,1
"Phelps, Amos A.","Weston, Caroline",1
"Philbrick, Anna R.","Weston, Caroline",1
"Philbrick, Samuel","May, Samuel",1
"Phillips, Ann Terry Greene","Chapman, Maria Weston",1
"Phillips, Ann Terry Greene","Garrison, William Lloyd",1
"Phillips, Ann Terry Greene","Weston, Anne Warren",1
"Phillips, Ann Terry Greene","Weston, Deborah",1
"Phillips, Louisa.","Chapman, Maria Weston",2
"Phillips, Mary L.","Chapman, Maria Weston",1
"Phillips, Thomas.","Garrison, William Lloyd",2
"Phillips, Wendell","Chapman, Maria Weston",7
"Phillips, Wendell","Garrison, William Lloyd",2
"Phillips, Wendell","May, Samuel",2
"Phillips, Wendell","Weston, Anne Warren",6
"Phillips, Wendell","Weston, Caroline",1
"Phillips, Wendell","Weston, Deborah",3
"Phillips, William F.","Garrison, William Lloyd",1
"Pillsbury, Parker","Bowditch, Henry I.",1
"Pillsbury, Parker","Chapman, Maria Weston",1
"Pillsbury, Parker","Garrison, William Lloyd",4
"Pillsbury, Parker","Hurnard, James",1
"Pillsbury, Parker","May, Samuel",33
"Pillsbury, Parker","RMay, Samuel",1
"Pillsbury, Sarah H.","Chapman, Maria Weston",1
"Pitkin, John R. G.","Garrison, William Lloyd",1
"Plumer, Richard.","Garrison, William Lloyd",1
"Plumer, William","Phillips, Wendell",1
"Plumly, Benjamin Rush","Garrison, William Lloyd",1
"Plummer, Sarah M.","Weston, Anne Warren",1
"Poole, Elizabeth.","Chapman, Maria Weston",2
"Poole, Sarah.","Chapman, Maria Weston",1
"Porter, Caroline.","Weston, Caroline",3
"Porter, Charles","Garrison, William Lloyd",1
"Porter, John Scott","Haughton, James",1
"Post, Amy.","Garrison, William Lloyd",1
"Potter, Thomas Bayley.","Garrison, William Lloyd",1
"Potter, William J.","Garrison, William Lloyd",2
"Powell, Aaron M.","Garrison, William Lloyd",1
"Powell, Aaron M.","May, Samuel",3
"Powell, William P.","Chapman, Maria Weston",2
"Powell, William P.","Garrison, William Lloyd",1
"Powell, William P.","May, Samuel",1
"Price, Abby H.","May, Samuel",1
"Prigg, Edward.","Phillips, Wendell",1
"Pugh, Sarah","Chapman, Maria Weston",16
"Pugh, Sarah","Garrison, William Lloyd",1
"Pugh, Sarah","May, Samuel",1
"Pugh, Sarah","Weston, Anne Warren",2
"Pugh, Sarah","Weston, Caroline",2
"Putnam, Caroline E.","Chapman, Maria Weston",1
"Putnam, George","May, Samuel",1
"Putnam, George","Stetson, Caleb",1
"Quincy, Edmund","Chapman, Maria Weston",50
"Quincy, Edmund","Garrison, William Lloyd",1
"Quincy, Edmund","Quincy, Edmund",1
"Quincy, Edmund","Weston, Anne Warren",2
"Quincy, Edmund","Weston, Caroline",24
R. C.,"Garrison, William Lloyd",1
"Rae, Robert.","Garrison, William Lloyd",2
"Ramsay, James","Beach, Samuel",1
"Ramsay, James","Garrison, William Lloyd",1
"Ramsay, James","Lofft, Capel",1
"Ramsay, James","Phillips, Wendell",1
"Randolph, Thomas Jefferson","Jefferson, Thomas",1
"Raper, James Hayes.","Garrison, William Lloyd",1
"Rawson, Mary Anne","Garrison, William Lloyd",2
"Remond, Sarah Parker","Chapman, Maria Weston",1
"Remond, Sarah Parker","Garrison, William Lloyd",1
"Ricketson, Daniel","Chapman, Maria Weston",5
"Ricketson, Joseph.","Chapman, Maria Weston",1
"Ricketson, Joseph.","Weston, Anne Warren",1
"Ricketson, Joseph.","Weston, Caroline",2
"Ricketson, Joseph.","Weston, Deborah",27
"Ringwalt, J. E.","Saint-Pierre, Bernardin de",1
"Robbins, L. M.","Chapman, Maria Weston",1
"Robbins, L. M.","Weston, Anne Warren",1
"Roberts, Thomas","Brougham and Vaux, Henry Brougham",1
"Robeson, Andrew","Chapman, Maria Weston",1
"Robeson, Andrew",Weston,4
"Robinson, Emily.","Chapman, Maria Weston",1
"Robinson, Emily.","Weston, Anne Warren",1
"Robson, William","Garrison, William Lloyd",1
Rockport Social Circle.,"Chapman, Maria Weston",1
Rodman,"Weston, Deborah",1
"Rodman, Eliza.","Chapman, Maria Weston",1
"Rodman, Eliza.","Weston, Anne Warren",1
"Rodman, Elizabeth.","Chapman, Maria Weston",1
"Rodman, Samuel.","Chapman, Maria Weston",1
"Rogers, Mary P.","Chapman, Maria Weston",1
"Rolleston, George","Garrison, William Lloyd",1
"Roper, Moses.","Washington, I. H.",1
"Ross, Alexander Milton","Garrison, William Lloyd",1
"Royce, S.","Garrison, William Lloyd",1
"Ruhm, John","Garrison, William Lloyd",1
"Russell, G. R.","Chapman, Maria Weston",2
"Russell, G. R.","Weston, Anne Warren",1
"Russell, George.","Chapman, Maria Weston",2
"Russell, Sarah Parkman Shaw","Russell, Sarah Parkman Shaw",1
"Russell, Thomas","Garrison, William Lloyd",3
"Sanborn, F. B.","Garrison, William Lloyd",4
"Sanderson, J. B.","Garrison, William Lloyd",1
"Sanger, Abner.","Chapman, Maria Weston",2
Sarah.,Weston,1
"Sargent, John T.","Garrison, William Lloyd",3
"Saxon, A.","Garrison, William Lloyd",1
"Schoelcher, Victor","Chapman, Maria Weston",4
"Sedgwick, C. B.","Garrison, William Lloyd",1
"Sedgwick, Theodore","Sedgwick, Henry D.",1
"Sellers, Samuel.","Chapman, Maria Weston",1
"Sewall, Harriet Winslow","Garrison, William Lloyd",2
"Sewall, Louisa M.","Chapman, Maria Weston",1
"Sewall, Samuel E.","Garrison, William Lloyd",5
"Shackleton, Mary.","Weston, Anne Warren",1
"Shaw, Sarah Blake Sturgis","Chapman, Maria Weston",4
"Shaw, William.","Garrison, William Lloyd",1
"Shorey, Cornelia G.","Chapman, Maria Weston",1
"Slack, David B.","Chapman, Maria Weston",1
"Smith, A. T.","Garrison, William Lloyd",1
"Smith, Ann Carroll Fitzhugh","Garrison, William Lloyd",1
"Smith, Elias","Garrison, William Lloyd",1
"Smith, Evelina A. S.","Chapman, Maria Weston",1
"Smith, Evelina A. S.",Weston,1
"Smith, Evelina A. S.","Weston, Anne Warren",2
"Smith, Evelina A. S.","Weston, Caroline",22
"Smith, George.",Clericus,1
"Smith, Gerrit","Garrison, William Lloyd",6
"Smith, Gerrit","Verplanck, Gulian C.",1
"Smith, Gerrit","Whittier, John Greenleaf",1
"Smith, Increase S.","Weston, Caroline",8
"Smith, Isaac.","Holabird, William H.",1
"Smith, John.","Garrison, William Lloyd",1
"Smith, R.","Chapman, Maria Weston",1
"Snodgrass, J. E.","Chapman, Maria Weston",4
"Soul, Joseph.","Garrison, William Lloyd",2
"Spear, Catherine H.","Weston, Caroline",2
"Spear, John Murray","Chapman, Maria Weston",1
"Spear, John Murray","Weston, Anne Warren",1
"Spear, William H.","Weston, Caroline",1
"Spooner, Allen C.","Chapman, Maria Weston",3
"Spooner, Nathaniel B.","Garrison, William Lloyd",1
"Spring, Marcus.","Weston, Anne Warren",1
"Stacy, George W.","Garrison, William Lloyd",4
"Stanton, Elizabeth Cady","Anthony, Susan B.",1
"Stanton, Henry B.","Chapman, Maria Weston",1
"Stearns, Geo. L.","May, Samuel",1
"Stearns, Rachel W.","Chapman, Maria Weston",2
"Stebbins, Catharine A. F.","Chapman, Maria Weston",2
"Stebbins, Giles Badger","Garrison, William Lloyd",1
"Stebbins, Sumner.","Garrison, William Lloyd",1
"Steinthal, S. Alfred.","Garrison, William Lloyd",2
"Steinthal, S. Alfred.","May, Samuel",14
"Stephens, Martha.","May, Samuel",1
"Stetson, Caleb","May, Samuel",4
"Still, William","May, Samuel",4
"Stone, Lucy","Garrison, William Lloyd",4
"Storey, Charles William","Weston, Caroline",1
"Stroud, George M.","Phillips, Wendell",1
"Stuart, Charles","Dennison, C.W.",1
"Stuart, James","Garrison, William Lloyd",2
"Sturge, Esther.","Chapman, Maria Weston",15
"Sturge, Esther.","Weston, Caroline",1
"Sturge, Thomas.","Chapman, Henry Grafton",1
"Sumner, Charles","Garrison, William Lloyd",1
"Sutherland, Harriet Elizabeth Georgiana Leveson-Gower","Garrison, William Lloyd",1
"Tappan, Sarah Salisbury","Garrison, William Lloyd",1
"Taylor, Bayard","Garrison, William Lloyd",1
"Taylor, John.","Garrison, William Lloyd",1
"Taylor, Mentia.","May, Samuel",6
"Thayer, William M.","Garrison, William Lloyd",1
"Thomas, Hannah S.","Chapman, Maria Weston",1
"Thomas, S. W.","Chapman, Maria Weston",1
"Thome, James A.","Kimball, J. Horace",1
"Thompson, George","Chapman, Maria Weston",1
"Thompson, George","Garrison, William Lloyd",11
"Thompson, George","Weaks, I. E. P.",1
"Thompson, George","Weston, Anne Warren",20
"Thompson, T. Perronet","Garrison, William Lloyd",1
"Thoreau, Helen L.","Chapman, Maria Weston",2
"Thoreau, Sophia E.","Chapman, Maria Weston",1
"Tilton, Theodore","Garrison, William Lloyd",5
"Torrey, Charles T.","Garrison, William Lloyd",1
"Torrey, Jesse","Phillips, Wendell",1
"Tourjée, Eben","Garrison, William Lloyd",1
"Townsend, Mira Sharples","Chapman, Maria Weston",1
"Tribe, Anne.","Weston, Anne Warren",1
"Tribe, Fanny N.","Chapman, Maria Weston",1
"Tudor, Frederic","Weston, Deborah",1
"Turgenev, Nikolai","Chapman, Maria Weston",1
"Tweedie, William","Chapman, Maria Weston",1
"Tyler, Moses Coit","Garrison, William Lloyd",1
"Urquhart, Thomas.","Wilberforce, William",1
"Van Rensalaer, Thomas.","Garrison, William Lloyd",1
"Vaux, Roberts","Phillips, Wendell",1
"Vincent, Henry","Garrison, Francis Jackson",1
"Vincent, Henry","Garrison, William Lloyd",3
Virgil.,"Bags, John Dryden",1
W. T. H.,"Garrison, William Lloyd",1
"Wadström, Carl Bernhard",Arrhenius,1
"Wadsworth, George.","Garrison, William Lloyd",1
"Walker, Thomas.","Garrison, William Lloyd",1
"Wallace, William Allen","Garrison, William Lloyd",1
"Wallcut, Robert Folger","May, Samuel",2
"Watson, Mary H.","Chapman, Maria Weston",3
"Webb, Alfred","Garrison, William Lloyd",1
"Webb, Hannah","Chapman, Maria Weston",3
"Webb, Hannah",Weston,1
"Webb, Hannah","Weston, Caroline",1
"Webb, James H.","Garrison, William Lloyd",1
"Webb, Maria.","Chapman, Maria Weston",3
"Webb, Richard Davis","Chapman, Maria Weston",92
"Webb, Richard Davis","Garrison, William Lloyd",2
"Webb, Richard Davis","May, Samuel",13
"Webb, Richard Davis","Webb, Richard Davis",2
"Webb, Richard Davis",Weston,1
"Webb, Richard Davis","Weston, Anne Warren",37
"Webb, Richard Davis","Weston, Caroline",17
"Webb, Richard Davis","Weston, Emma Forbes",2
"Webb, Richard Davis","Weston, Lucia",1
"Webb, Richard.","Weston, Anne Warren",1
"Wells, James M.","Garrison, William Lloyd",1
"Welsh, Mary","Chapman, Maria Weston",13
"Welsh, Mary","Weston, Anne Warren",1
Weston,Weston,1
"Weston, Anne Warren","Ball, Martha V.",1
"Weston, Anne Warren",Bates,1
"Weston, Anne Warren","Chapman, Henry Grafton",1
"Weston, Anne Warren","Chapman, Maria Weston",15
"Weston, Anne Warren","Chapman, Mary Gray",1
"Weston, Anne Warren","Davis, Edward Morris",1
"Weston, Anne Warren","Dicey, Anne Greene Chapman",1
"Weston, Anne Warren","Estlin, J. B.",6
"Weston, Anne Warren","Estlin, Mary Anne",25
"Weston, Anne Warren","Fuller, Margaret",1
"Weston, Anne Warren","Garrison, William Lloyd",22
"Weston, Anne Warren",Gould,1
"Weston, Anne Warren","Grimké, Sarah Moore",1
"Weston, Anne Warren","Hanson, T. R.",1
"Weston, Anne Warren","Humboldt, Alexander von",1
"Weston, Anne Warren","Jackson, Francis",1
"Weston, Anne Warren","Kemble, Fanny",1
"Weston, Anne Warren","Loring, Ellis Gray",1
"Weston, Anne Warren","May, Samuel",23
"Weston, Anne Warren","May, Samuel J.",1
"Weston, Anne Warren","Nichol, Elizabeth Pease",8
"Weston, Anne Warren","Parker, Mary S.",1
"Weston, Anne Warren","Post, Amy",1
"Weston, Anne Warren","Rogers, Nathaniel Peabody",1
"Weston, Anne Warren","Stanton, Henry B.",1
"Weston, Anne Warren","Stowe, Harriet Beecher",1
"Weston, Anne Warren","Thompson, George",1
"Weston, Anne Warren","Weston, Ann Bates",1
"Weston, Anne Warren","Weston, Caroline",26
"Weston, Anne Warren","Weston, Deborah",137
"Weston, Anne Warren","Weston, Emma Forbes",5
"Weston, Anne Warren","Weston, Lucia",10
"Weston, Anne Warren","Weston, Mary",19
"Weston, Anne Warren","Wigham, Eliza",1
"Weston, C. E.","Chapman, Maria Weston",1
"Weston, Caroline","Bourne, George A.",1
"Weston, Caroline","Chapman, Henry Grafton",2
"Weston, Caroline","Chapman, Maria Weston",12
"Weston, Caroline","Chapman, Mary Gray",1
"Weston, Caroline",Essex County Olive Branch Circle,1
"Weston, Caroline","Estlin, Mary Anne",5
"Weston, Caroline","Garrison, Francis Jackson",1
"Weston, Caroline","Garrison, William Lloyd",4
"Weston, Caroline","Hale, John P.",1
"Weston, Caroline","Hamatt, L. R. G.",1
"Weston, Caroline","Jackson, Francis",1
"Weston, Caroline","M'Kim, J. Miller",1
"Weston, Caroline","May, Samuel",6
"Weston, Caroline","Newcomb, Stillman B.",2
"Weston, Caroline","Phillips, Ann Terry Greene",1
"Weston, Caroline","Phillips, Wendell",1
"Weston, Caroline","Weston, Ann Bates",1
"Weston, Caroline","Weston, Anne Warren",11
"Weston, Caroline","Weston, Deborah",47
"Weston, Caroline","Weston, Emma Forbes",2
"Weston, Caroline","Weston, Lucia",2
"Weston, Caroline","Weston, Mary",1
"Weston, Caroline","Weston, Phebe Nash",1
"Weston, Caroline",Worcester,2
"Weston, Caroline",Young,1
"Weston, Deborah","Chapman, Henry Grafton",2
"Weston, Deborah","Chapman, Maria Weston",18
"Weston, Deborah","Dicey, Anne Greene Chapman",2
"Weston, Deborah","Fifield, Noah",1
"Weston, Deborah","Garrison, William Lloyd",2
"Weston, Deborah","May, Samuel",2
"Weston, Deborah",Seabury,1
"Weston, Deborah","Tudor, Frederic",2
"Weston, Deborah","Weston, Ann Bates",3
"Weston, Deborah","Weston, Anne Warren",51
"Weston, Deborah","Weston, Caroline",22
"Weston, Deborah","Weston, Deborah",1
"Weston, Deborah","Weston, Emma Forbes",2
"Weston, Deborah","Weston, Lucia",9
"Weston, Deborah","Weston, Mary",14
"Weston, Deborah","Weston, R. Warren",1
"Weston, E.","May, Samuel",1
"Weston, Emma Forbes","Garrison, William Lloyd",1
"Weston, Emma Forbes","Laugel, Elizabeth Bates Chapman",2
"Weston, Emma Forbes","May, Samuel",1
"Weston, Emma Forbes","Weston, Anne Warren",1
"Weston, Emma Forbes","Weston, Caroline",1
"Weston, Emma Forbes","Weston, Deborah",8
"Weston, Emma Forbes","Weston, Lucia",3
"Weston, G. B.","Chapman, Maria Weston",1
"Weston, Helen.","Weston, Deborah",2
"Weston, Hervey Eliphaz","Weston, Anne Warren",2
"Weston, Hervey Eliphaz","Weston, Caroline",1
"Weston, Hervey Eliphaz","Weston, Deborah",5
"Weston, Lucia","Weston, Anne Warren",7
"Weston, Lucia","Weston, Deborah",27
"Weston, Lucia","Weston, Emma Forbes",2
"Weston, Mary","Weston, Anne Warren",1
"Weston, Mary","Weston, Deborah",13
"Weston, R. Warren","Chapman, Maria Weston",1
"Weston, R. Warren","Weston, Anne Warren",2
"Weston, R. Warren","Weston, Deborah",32
"Weston, R. Warren","Weston, Emma Forbes",1
"Weston, Rosamond.","Weston, Deborah",1
"Weston, S. M.","Weston, Deborah",2
"Whipple, Charles K.","Garrison, William Lloyd",1
"Whipple, Charles K.","May, Samuel",2
"White, George W.","Garrison, William Lloyd",1
"White, Hannah Ely.","Chapman, Maria Weston",1
"White, Richard W.","Bullock, Rufus B.",1
"White, William Abijah","Chapman, Maria Weston",1
"Whitelegge, Rebecca.","Chapman, Maria Weston",2
"Whitelegge, Rebecca.",Weston,1
"Whitelegge, Rebecca.","Weston, Caroline",1
"Whiting, L. R.","Garrison, William Lloyd",1
"Whiting, Louisa Jane.",Weston,1
"Whiting, Nathaniel H.","Garrison, William Lloyd",1
"Whitney, Anne","Garrison, William Lloyd",2
"Whitney, R. P.","Garrison, William Lloyd",1
"Whitson, Thomas","May, Samuel",1
"Whittier, John Greenleaf","Garrison, William Lloyd",2
"Whittier, John Greenleaf","May, Samuel",1
"Whitworth, Robert.","Garrison, William Lloyd",1
"Wiffen, Benjamin B.","Chapman, Maria Weston",1
"Wigham, Eliza","May, Samuel",4
"Wigham, Eliza.","Chapman, Maria Weston",3
"Wigham, Eliza.","Estlin, Mary Anne",1
"Wigham, Eliza.","Garrison, William Lloyd",5
"Wigham, Eliza.","May, Samuel",24
"Wigham, Eliza.","Weston, Anne Warren",6
"Wigham, Eliza.","Wigham, Eliza",1
"Wigham, Jane.","Chapman, Maria Weston",10
"Wigham, Jane.","Garrison, William Lloyd",1
"Wigham, Jane.","May, Samuel",1
"Wigham, Jane.","Weston, Anne Warren",3
"Willard, Emma C.","Chapman, Maria Weston",1
"Williams, William.","Garrison, William Lloyd",1
"Willis, Hamilton.","Garrison, William Lloyd",1
"Wilmarth, Lucinda.","Chapman, Maria Weston",1
"Wilson, Daniel","Denison, Charles Wheeler",1
"Wilson, Henry","Garrison, William Lloyd",1
"Wilson, Henry Joseph","Garrison, William Lloyd",2
"Wilson, Hiram","May, Samuel",1
"Wilson, Shipley W.","Garrison, William Lloyd",1
"Winsmith, J. C.","Garrison, William Lloyd",1
"Wood, A. H.","May, Samuel",1
"Wood, S.","May, Samuel",2
"Woolson, Abba Goold","Garrison, William Lloyd",1
"Wright, Albert J.","Garrison, William Lloyd",1
"Wright, Henry Clarke","Garrison, William Lloyd",7
"Yerrinton, James Brown","Chapman, Maria Weston",1
